node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
HT7,body,42,-0.465150,-0.389614,-0.230414,0.187638,0.819028,0.282877,0.048663,-0.607411,-0.432995,0.780611,0.411812,0.699301,-1.081236,-0.217095,-0.130587,0.529396
GV20,body,36,-0.327017,-0.042690,-0.254548,0.286568,0.579271,-0.121009,0.080932,-0.094619,-0.068193,0.232755,0.389338,0.530198,-1.035762,-0.705391,-0.186395,0.096763
SP6,body,30,-0.224507,-0.131576,-0.085131,0.342507,0.456296,-0.219932,-0.282249,-0.729756,0.210480,0.644479,0.184112,0.507432,-1.042069,-0.577952,-0.382030,1.004027
PC6,body,26,0.111348,-0.328739,-0.025792,0.513856,0.788175,-0.072000,-0.102903,-0.489319,-0.098849,0.470789,0.226045,0.939277,-0.825786,-0.632187,-0.204911,0.645134
EAR_SHENMEN,ear,17,-0.034279,-0.557583,0.519666,0.277514,0.484395,-0.450069,0.317886,-0.620972,-0.442468,1.377695,0.608746,0.408888,-0.895592,-1.275765,-0.248987,0.642803
ST36,body,16,0.186872,-0.123419,-0.188307,0.376014,0.985100,0.105568,-0.181099,-0.661236,0.223325,0.630080,-0.175865,0.255499,-0.810340,-0.288384,-0.437117,0.379855
GV24,body,14,-0.065854,-0.594345,-0.114466,0.106788,0.619571,-0.108839,-0.175253,0.203011,0.355063,0.586085,0.540213,0.197077,-0.259622,-0.278183,-0.157867,0.241869
EX-HN22,body,13,-0.003832,-0.809809,-0.566150,0.350210,0.846194,0.264529,-0.376122,-0.250523,0.075336,1.366898,0.584958,0.397009,-0.621674,-0.836078,0.147123,0.676475
SISHENCONG,body,13,-0.251345,-0.090446,-0.296753,0.228289,0.922368,-0.144052,-0.000479,-0.783133,-0.518511,0.377696,0.400838,0.309787,-0.848395,-0.870912,0.128170,0.815055
BL15,body,12,-0.265111,0.128181,-0.396790,0.381912,0.342572,0.787748,-0.159153,-0.049978,0.431175,0.626944,0.131330,0.169247,-0.741126,-0.127623,-0.032893,0.406989
BL23,body,12,-0.799881,0.080520,-0.282622,0.125890,0.441513,0.189557,-0.424755,-0.289669,0.591360,0.559945,0.209868,0.413913,-0.413910,-0.173993,0.080789,0.183523
KI6,body,11,-0.420220,-0.510081,-0.066066,0.280148,0.534504,-0.192449,-0.616626,-0.140387,-0.098244,0.481338,0.283458,0.210115,-1.022246,-0.541930,-0.131912,0.627711
BL62,body,10,-0.426834,-0.186562,-0.328264,0.071516,0.641048,-0.118153,-0.170417,-0.020831,0.024115,0.681532,0.389422,0.008835,-0.487541,-0.309902,-0.412977,0.581822
EAR_HEART,ear,10,-0.180482,-0.631754,0.457788,0.314182,0.819844,-0.073949,0.903465,-0.974067,-0.324277,0.904910,0.423302,0.840853,-0.770844,-1.222373,-0.220804,0.793150
