node,system,frequency,cluster_id,pca_x,pca_y
GV14,body,5,0,-0.640329,-0.150874
GV11,body,4,0,-0.625266,-0.063843
GV16,body,4,0,-0.372924,-0.227045
GV17,body,4,0,-0.527527,0.018147
BL19,body,3,0,-0.485546,-0.144517
BL2,body,3,0,-0.221308,-0.052716
BL21,body,3,0,-0.509509,0.162178
BL24,body,3,0,-0.534805,0.020523
BL26,body,3,0,-0.765519,0.248327
GV4,body,3,0,-0.374240,-0.383509
BL13,body,2,0,-0.741990,0.232268
BL40,body,2,0,-0.534156,-0.120019
BL57,body,2,0,-0.574543,-0.067098
BL60,body,2,0,-0.980262,0.256549
GV10,body,2,0,-0.573680,-0.364796
GV18,body,2,0,-1.042402,-0.247226
GV26,body,2,0,-0.617482,-0.101051
GV9,body,2,0,-0.524922,-0.035282
BL10,body,1,0,-1.107960,-0.261581
BL11,body,1,0,-0.877287,-0.375716
BL12,body,1,0,-0.648499,-0.326949
BL14,body,1,0,-0.780018,-0.142543
BL16,body,1,0,-1.121049,-0.165636
BL17,body,1,0,-1.144065,-0.388459
BL22,body,1,0,-0.922472,-0.160927
BL25,body,1,0,-1.046231,-0.390970
BL27,body,1,0,-1.006911,-0.327825
BL28,body,1,0,-1.100121,-0.154616
BL29,body,1,0,-0.820087,0.064185
BL3,body,1,0,-1.090408,-0.211917
BL30,body,1,0,-0.899356,-0.506911
BL31,body,1,0,-1.070191,0.006888
BL32,body,1,0,-1.019060,-0.254858
BL33,body,1,0,-0.932668,-0.183475
BL34,body,1,0,-0.656028,-0.388352
BL35,body,1,0,-0.488477,-0.070880
BL36,body,1,0,-1.117903,-0.278437
BL37,body,1,0,-1.077648,-0.128469
BL38,body,1,0,-0.768197,-0.321663
BL39,body,1,0,-0.822865,-0.164992
BL4,body,1,0,-1.068144,-0.283378
BL41,body,1,0,-0.970765,-0.244101
BL42,body,1,0,-1.120858,-0.113167
BL43,body,1,0,-1.015356,-0.139542
BL44,body,1,0,-0.983206,-0.510130
BL45,body,1,0,-0.956841,-0.110644
BL46,body,1,0,-0.923095,-0.109609
BL47,body,1,0,-1.041929,-0.019573
BL48,body,1,0,-0.795408,-0.086561
BL49,body,1,0,-0.942078,-0.229825
BL5,body,1,0,-0.631178,0.296017
BL50,body,1,0,-0.950297,-0.173137
BL51,body,1,0,-0.988021,0.089550
BL52,body,1,0,-1.044979,-0.274973
BL53,body,1,0,-0.995486,-0.226668
BL54,body,1,0,-0.900616,0.058076
BL55,body,1,0,-0.911984,-0.198157
BL56,body,1,0,-0.897940,-0.165028
BL58,body,1,0,-1.169353,-0.326330
BL59,body,1,0,-1.042083,-0.259865
BL6,body,1,0,-0.924661,0.076632
BL61,body,1,0,-0.929200,-0.106939
BL63,body,1,0,-1.041195,-0.166929
BL64,body,1,0,-1.115893,-0.276753
BL65,body,1,0,-0.758568,-0.357951
BL66,body,1,0,-1.059927,-0.110737
BL67,body,1,0,-1.084762,-0.329016
BL7,body,1,0,-0.778946,-0.393225
BL8,body,1,0,-1.040641,-0.297165
BL9,body,1,0,-0.966355,-0.047450
GV1,body,1,0,-0.950743,-0.115922
GV12,body,1,0,-0.742417,-0.338101
GV13,body,1,0,-1.023883,-0.206406
GV15,body,1,0,-0.869907,-0.144559
GV19,body,1,0,-0.872354,-0.149993
GV2,body,1,0,-1.101020,-0.224411
GV21,body,1,0,-0.807019,-0.201031
GV22,body,1,0,-1.012651,0.035431
GV23,body,1,0,-0.834078,-0.133583
GV25,body,1,0,-1.066444,-0.339013
GV27,body,1,0,-1.154771,-0.389001
GV28,body,1,0,-1.070573,-0.249001
GV3,body,1,0,-0.985838,-0.062376
GV5,body,1,0,-0.858205,-0.292110
GV6,body,1,0,-0.893671,-0.205144
GV7,body,1,0,-1.028176,-0.097782
GV8,body,1,0,-0.938318,-0.259532
HT7,body,42,1,0.894515,0.676888
GV20,body,36,1,0.399044,0.371250
SP6,body,30,1,0.975761,0.624735
PC6,body,26,1,1.032444,0.457508
ST36,body,16,1,0.628728,0.670863
GV24,body,14,1,0.205206,0.357884
EX-HN22,body,13,1,1.173298,0.926982
SISHENCONG,body,13,1,1.025225,0.498625
BL15,body,12,1,-0.092719,0.763531
BL23,body,12,1,-0.142701,0.765349
KI6,body,11,1,0.564682,0.829715
BL62,body,10,1,0.206671,0.537997
EX-HN1,body,10,1,0.994342,0.654099
