paper_no,first_author,year,original_acupoint,standard_acupoint,system,action,reason
1,Chen,1999,GV20,GV20,body,keep,표준 체침 경혈 코드
1,Chen,1999,GB20,GB20,body,keep,표준 체침 경혈 코드
1,Chen,1999,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
1,Chen,1999,HT7,HT7,body,keep,표준 체침 경혈 코드
1,Chen,1999,hands(unspecified),,unknown,drop,특정 경혈로 식별 불가
2,Chen,2009,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
2,Chen,2009,GV24,GV24,body,keep,표준 체침 경혈 코드
2,Chen,2009,GV20,GV20,body,keep,표준 체침 경혈 코드
2,Chen,2009,EX-HN5,EX-HN5,body,keep,표준 체침 경혈 코드
2,Chen,2009,HT7,HT7,body,keep,표준 체침 경혈 코드
2,Chen,2009,(Ear) Shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
2,Chen,2009,heart,EAR_HEART,ear,map,이침 경혈 표준화
2,Chen,2009,lung,EAR_LUNG,ear,map,이침 경혈 표준화
2,Chen,2009,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
2,Chen,2009,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
2,Chen,2009,liver,EAR_LIVER,ear,map,이침 경혈 표준화
2,Chen,2009,endocrine,EAR_ENDOCRINE,ear,map,이침 경혈 표준화
2,Chen,2009,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
2,Chen,2009,cortical areas,EAR_CORTICAL_AREAS,ear,map,이침 경혈 표준화
3,Cui,2003,GV20,GV20,body,keep,표준 체침 경혈 코드
3,Cui,2003,GV24,GV24,body,keep,표준 체침 경혈 코드
3,Cui,2003,EX-HN1,EX-HN1,body,keep,표준 체침 경혈 코드
3,Cui,2003,HT7,HT7,body,keep,표준 체침 경혈 코드
3,Cui,2003,PC6,PC6,body,keep,표준 체침 경혈 코드
3,Cui,2003,CV12,CV12,body,keep,표준 체침 경혈 코드
3,Cui,2003,ST40,ST40,body,keep,표준 체침 경혈 코드
3,Cui,2003,SP4,SP4,body,keep,표준 체침 경혈 코드
4,Du,2007,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
4,Du,2007,SP6,SP6,body,keep,표준 체침 경혈 코드
4,Du,2007,1 inch above medial malleolus,,unknown,review_needed,수동 검토 필요
4,Du,2007,BL15,BL15,body,keep,표준 체침 경혈 코드
4,Du,2007,BL20,BL20,body,keep,표준 체침 경혈 코드
4,Du,2007,BL18,BL18,body,keep,표준 체침 경혈 코드
4,Du,2007,BL23,BL23,body,keep,표준 체침 경혈 코드
4,Du,2007,KI3,KI3,body,keep,표준 체침 경혈 코드
4,Du,2007,TE6,TE6,body,keep,표준 체침 경혈 코드
4,Du,2007,LR2,LR2,body,keep,표준 체침 경혈 코드
4,Du,2007,GB43,GB43,body,keep,표준 체침 경혈 코드
5,Guo,2009,EX-HN1,EX-HN1,body,keep,표준 체침 경혈 코드
5,Guo,2009,HT7,HT7,body,keep,표준 체침 경혈 코드
5,Guo,2009,SP6,SP6,body,keep,표준 체침 경혈 코드
5,Guo,2009,CV4,CV4,body,keep,표준 체침 경혈 코드
5,Guo,2009,BL15,BL15,body,keep,표준 체침 경혈 코드
5,Guo,2009,BL20,BL20,body,keep,표준 체침 경혈 코드
5,Guo,2009,BL23,BL23,body,keep,표준 체침 경혈 코드
5,Guo,2009,KI3,KI3,body,keep,표준 체침 경혈 코드
5,Guo,2009,BL21,BL21,body,keep,표준 체침 경혈 코드
5,Guo,2009,ST36,ST36,body,keep,표준 체침 경혈 코드
5,Guo,2009,BL18,BL18,body,keep,표준 체침 경혈 코드
5,Guo,2009,LR3,LR3,body,keep,표준 체침 경혈 코드
6,Hisghman,2006,(Ear) Shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
6,Hisghman,2006,heart,EAR_HEART,ear,map,이침 경혈 표준화
6,Hisghman,2006,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
6,Hisghman,2006,liver,EAR_LIVER,ear,map,이침 경혈 표준화
6,Hisghman,2006,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
6,Hisghman,2006,occiput and subcortex,EAR_OCCIPUT,ear,split,합쳐진 이침 경혈 분리
6,Hisghman,2006,occiput and subcortex,EAR_SUBCORTEX,ear,split,합쳐진 이침 경혈 분리
7,Hwang,2007,multiple acupoints(경혈 명시X),,unknown,drop,특정 경혈로 식별 불가
8,Jian,2005,BL15,BL15,body,keep,표준 체침 경혈 코드
8,Jian,2005,EX-HN22,EX-HN22,body,keep,표준 체침 경혈 코드
8,Jian,2005,GV20,GV20,body,keep,표준 체침 경혈 코드
8,Jian,2005,GV24,GV24,body,keep,표준 체침 경혈 코드
8,Jian,2005,KI6,KI6,body,keep,표준 체침 경혈 코드
8,Jian,2005,HT7,HT7,body,keep,표준 체침 경혈 코드
8,Jian,2005,EX-HN5,EX-HN5,body,keep,표준 체침 경혈 코드
9,Jin,2003,(Ear) Shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
9,Jin,2003,Occiput,EAR_OCCIPUT,ear,map,이침 경혈 표준화
9,Jin,2003,Subcortex,EAR_SUBCORTEX,ear,map,이침 경혈 표준화
9,Jin,2003,Liver,EAR_LIVER,ear,map,이침 경혈 표준화
9,Jin,2003,Gallbladder,EAR_GALLBLADDER,ear,map,이침 경혈 표준화
9,Jin,2003,Spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
9,Jin,2003,Stomach,EAR_STOMACH,ear,map,이침 경혈 표준화
9,Jin,2003,Heart,EAR_HEART,ear,map,이침 경혈 표준화
9,Jin,2003,Kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
10,Kaiser-Pagliarini,2009,경혈 명시X,,unknown,drop,특정 경혈로 식별 불가
11,Kim,2004,HT7,HT7,body,keep,표준 체침 경혈 코드
11,Kim,2004,PC6,PC6,body,keep,표준 체침 경혈 코드
12,Lai,2010,KI6,KI6,body,keep,표준 체침 경혈 코드
12,Lai,2010,BL62,BL62,body,keep,표준 체침 경혈 코드
12,Lai,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
12,Lai,2010,EX-HN3,EX-HN3,body,keep,표준 체침 경혈 코드
