sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list
2016_acupuncture_SR,1,Guo J,2008,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]"
2016_acupuncture_SR,2,Guo JW,2013,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]"
2016_acupuncture_SR,3,He FL,2010,Acupuncture,"GV20, HT7, SP6, BL62, KI6, KI9, PC6, GB35, Anmian","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""KI9"", ""PC6"", ""GB35"", ""Anmian""]"
2016_acupuncture_SR,4,He T,2010,Acupuncture,"GV20, HT7, SP6, ST36, PC6, GB19, LR3, GV17","[""GV20"", ""HT7"", ""SP6"", ""ST36"", ""PC6"", ""GB19"", ""LR3"", ""GV17""]"
2016_acupuncture_SR,5,Lai Y,2011,Acupuncture + ear acupressure,"GV20, HT7, SP6, PC6, CV4, CV6, CV10,CV12, Sishencong, Yintang;
Ear points: heart, kidney, liver, shenmen, spleen, subcortex, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""Sishencong"", ""Yintang"", ""Ear points: heart"", ""kidney"", ""liver"", ""shenmen"", ""spleen"", ""subcortex"", ""sympathetic""]"
2016_acupuncture_SR,6,Li PF,2013,Acupuncture,"GV20, GV11, GV14, GV16, GV17, GV18, GV24","[""GV20"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV18"", ""GV24""]"
2016_acupuncture_SR,7,Li XY,2010,Acupuncture,"GV20, HT7, GB20, Anmian, Sishencong","[""GV20"", ""HT7"", ""GB20"", ""Anmian"", ""Sishencong""]"
2016_acupuncture_SR,8,Liu JY,2013,Electroacupuncture,"SP6, ST36, Sishencong, Taiyang","[""SP6"", ""ST36"", ""Sishencong"", ""Taiyang""]"
2016_acupuncture_SR,9,Lu YY,2008,Acupuncture,"GV20, HT7, BL23, KI3, PC6, GV11, GV16, GV24","[""GV20"", ""HT7"", ""BL23"", ""KI3"", ""PC6"", ""GV11"", ""GV16"", ""GV24""]"
2016_acupuncture_SR,10,Luo WZ,2006,Acupuncture,"GV20, HT7, LI4, LR3. Yintang","[""GV20"", ""HT7"", ""LI4"", ""LR3. Yintang""]"
2016_acupuncture_SR,11,Song Q,2007,Acupuncture,"GV20, Sishencong","[""GV20"", ""Sishencong""]"
2016_acupuncture_SR,12,Su D,2011,Acupuncture,"HT7, SP6, ST36, HT5, BL15, BL20 or BL15, BL19, PC7 or KI1, KI3, LR3","[""HT7"", ""SP6"", ""ST36"", ""HT5"", ""BL15"", ""BL20 or BL15"", ""BL19"", ""PC7 or KI1"", ""KI3"", ""LR3""]"
2016_acupuncture_SR,13,Su J,2014,Acupuncture,"HT7, SP6, ST36, BL23, BL60, BL62, KI3, KI6, PC6, Sishencong","[""HT7"", ""SP6"", ""ST36"", ""BL23"", ""BL60"", ""BL62"", ""KI3"", ""KI6"", ""PC6"", ""Sishencong""]"
2016_acupuncture_SR,14,Sun ZY,2010,Acupuncture,"SP6, KI1, KI3","[""SP6"", ""KI1"", ""KI3""]"
2016_acupuncture_SR,15,Tan Y,2012,Acupuncture,"HT7, SP6, Anmian","[""HT7"", ""SP6"", ""Anmian""]"
2016_acupuncture_SR,16,Tao HX,2009,Acupuncture,"SP6, PC6, Sishencong, Taiyang, Yintang","[""SP6"", ""PC6"", ""Sishencong"", ""Taiyang"", ""Yintang""]"
2016_acupuncture_SR,17,Tu JH,2012,Acupuncture,"HT7, ST36","[""HT7"", ""ST36""]"
2016_acupuncture_SR,18,Wang LL,2012,Acupuncture,"GV20, HT7, SP6, ST25, ST36, BL15,BL18, BL19, BL20, BL21, BL23, BL24, BL26, BL40, BL57, PC6, LR3, GV4, GV14, GV24, CV4, CV6, CV12, Anmian","[""GV20"", ""HT7"", ""SP6"", ""ST25"", ""ST36"", ""BL15"", ""BL18"", ""BL19"", ""BL20"", ""BL21"", ""BL23"", ""BL24"", ""BL26"", ""BL40"", ""BL57"", ""PC6"", ""LR3"", ""GV4"", ""GV14"", ""GV24"", ""CV4"", ""CV6"", ""CV12"", ""Anmian""]"
2016_acupuncture_SR,19,Xia XF,2012,Acupuncture,"GV20, BL15, BL23, GV4, GV9, GV10, GV11, GV14, GV16, GV17, GV24, GV26, CV6, CV12, CV14, CV15, CV17, CV24, Yintang","[""GV20"", ""BL15"", ""BL23"", ""GV4"", ""GV9"", ""GV10"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV24"", ""GV26"", ""CV6"", ""CV12"", ""CV14"", ""CV15"", ""CV17"", ""CV24"", ""Yintang""]"
2016_acupuncture_SR,20,Xiong JW,2011,Acupuncture,"GV20, HT7, SP6, LI10, ST36, BL2, PC6,TE17","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17""]"
2016_acupuncture_SR,21,Xuan YB,2007,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]"
2016_acupuncture_SR,22,Yao W,2014,Electroacupuncture,"GV20, HT7, SP6, BL62, KI6, PC6, LR3, Anmian, Sishencong, Taiyang, Yintang","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""LR3"", ""Anmian"", ""Sishencong"", ""Taiyang"", ""Yintang""]"
2016_acupuncture_SR,23,Yeung WF,2009,Electroacupuncture,"GV20, Anmian, Sishencong, Yintang;
Ear points: shenmen","[""GV20"", ""Anmian"", ""Sishencong"", ""Yintang"", ""Ear points: shenmen""]"
2016_acupuncture_SR,24,You L,2010,Acupuncture + ear acupressure + warm needle,"GV20, HT7, SP6, LI10, ST36, BL2, PC6, TE17;
Ear points: heart, kidney, shenmen, spleen, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17"", ""Ear points: heart"", ""kidney"", ""shenmen"", ""spleen"", ""sympathetic""]"
2016_acupuncture_SR,25,Yu DS,2012,Acupuncture + moxa,"HT7, BL15, BL23, KI1, KI3, PC6; moxa:KI1","[""HT7"", ""BL15"", ""BL23"", ""KI1"", ""KI3"", ""PC6"", ""moxa:KI1""]"
2016_acupuncture_SR,26,Yu F,2010,Acupuncture + ear acupressure,"GV20, HT7, SP6, BL62, KI6, PC6, Anmian, Sishencong, Yintang;
Ear points: heart, kidney, liver, shenmen, spleen, subcortex, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""Anmian"", ""Sishencong"", ""Yintang"", ""Ear points: heart"", ""kidney"", ""liver"", ""shenmen"", ""spleen"", ""subcortex"", ""sympathetic""]"
2016_acupuncture_SR,27,Zhang HY,2013,Acupuncture,"GV20, HT7, PC6, Sishencong","[""GV20"", ""HT7"", ""PC6"", ""Sishencong""]"
2016_acupuncture_SR,28,Zhu MM,2012,Acupuncture + ear acupressure,"GV20, HT7, CV4, CV6, CV10, CV12,Yintang;
Ear points: shenmen, sympathetic, occiput, brain,hypothysis","[""GV20"", ""HT7"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""Yintang"", ""Ear points: shenmen"", ""sympathetic"", ""occiput"", ""brain"", ""hypothysis""]"
2016_acupuncture_SR,29,Wang YY,2015,Acupuncture,"GV20, HT7, SP6, PC6, BL13, BL15, BL18,BL20, BL23, BL24, BL26, BL62, Yintang,ST25, KI6","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""BL13"", ""BL15"", ""BL18"", ""BL20"", ""BL23"", ""BL24"", ""BL26"", ""BL62"", ""Yintang"", ""ST25"", ""KI6""]"
