source,target,weight
GV20,HT7,27
HT7,SP6,24
HT7,PC6,22
GV20,SP6,19
PC6,SP6,17
GV20,PC6,16
GV20,GV24,14
HT7,ST36,13
GV24,HT7,11
SP6,ST36,11
EAR_HEART,EAR_SHENMEN,10
EAR_SHENMEN,GV20,10
EX-HN22,GV20,10
EX-HN22,HT7,10
GV20,SISHENCONG,10
HT7,KI6,10
HT7,LR3,10
BL15,HT7,9
BL62,KI6,9
EAR_HEART,EAR_KIDNEY,9
EAR_HEART,EAR_SPLEEN,9
EAR_KIDNEY,EAR_SHENMEN,9
EAR_KIDNEY,EAR_SPLEEN,9
EAR_SHENMEN,EAR_SPLEEN,9
HT7,SISHENCONG,9
PC6,ST36,9
SISHENCONG,SP6,9
BL15,BL23,8
BL23,HT7,8
BL62,HT7,8
EAR_HEART,EAR_LIVER,8
EAR_KIDNEY,EAR_LIVER,8
EAR_LIVER,EAR_SHENMEN,8
EAR_LIVER,EAR_SPLEEN,8
EX-HN1,GV20,8
GV20,YINTANG,8
BL15,GV20,7
BL15,SP6,7
BL23,PC6,7
BL23,SP6,7
BL62,PC6,7
EAR_HEART,EAR_SUBCORTEX,7
EAR_SHENMEN,EAR_SUBCORTEX,7
EAR_SHENMEN,HT7,7
EX-HN1,EX-HN22,7
EX-HN1,HT7,7
EX-HN22,SP6,7
EX-HN3,GV20,7
GV24,SP6,7
HT7,KI3,7
KI6,PC6,7
LR3,SP6,7
LR3,ST36,7
ANMIAN,GV20,6
ANMIAN,HT7,6
BL15,BL18,6
BL15,BL20,6
BL18,BL23,6
BL23,GV20,6
BL23,KI3,6
BL62,GV20,6
BL62,SP6,6
CV12,CV6,6
EAR_KIDNEY,EAR_SUBCORTEX,6
EAR_LIVER,EAR_SUBCORTEX,6
EAR_SHENMEN,EAR_SYMPATHETIC,6
EAR_SPLEEN,EAR_SUBCORTEX,6
EX-HN1,SP6,6
EX-HN22,EX-HN3,6
GV20,KI6,6
GV20,LR3,6
HT7,YINTANG,6
KI3,SP6,6
KI6,SP6,6
PC6,SISHENCONG,6
ANMIAN,SP6,5
BL15,GV24,5
BL15,KI3,5
BL15,LR3,5
BL15,ST36,5
BL18,BL20,5
BL18,SP6,5
BL20,BL23,5
BL23,GV24,5
BL23,ST36,5
CV12,GV20,5
CV12,HT7,5
EAR_HEART,EAR_SYMPATHETIC,5
EAR_OCCIPUT,EAR_SHENMEN,5
EAR_SHENMEN,EX-HN3,5
EAR_SHENMEN,PC6,5
EAR_SHENMEN,SP6,5
EAR_SYMPATHETIC,GV20,5
EAR_SYMPATHETIC,HT7,5
EX-HN1,EX-HN3,5
EX-HN1,PC6,5
EX-HN22,PC6,5
EX-HN3,HT7,5
GV14,GV20,5
GV20,ST36,5
GV24,PC6,5
KI3,ST36,5
KI6,ST36,5
LR3,PC6,5
PC6,YINTANG,5
SISHENCONG,YINTANG,5
SP6,YINTANG,5
ANMIAN,PC6,4
ANMIAN,SISHENCONG,4
BL15,BL62,4
BL15,EX-HN22,4
BL15,KI6,4
BL15,PC6,4
BL18,GV20,4
BL18,HT7,4
BL20,HT7,4
BL20,SP6,4
BL23,BL62,4
BL62,ST36,4
CV10,CV12,4
CV10,CV6,4
CV12,CV4,4
CV12,PC6,4
CV4,CV6,4
CV4,HT7,4
CV6,GV20,4
EAR_HEART,EAR_OCCIPUT,4
EAR_HEART,GV20,4
EAR_HEART,HT7,4
EAR_KIDNEY,EAR_OCCIPUT,4
EAR_KIDNEY,EAR_SYMPATHETIC,4
EAR_KIDNEY,GV20,4
EAR_KIDNEY,HT7,4
EAR_LIVER,EAR_OCCIPUT,4
EAR_OCCIPUT,EAR_SPLEEN,4
EAR_OCCIPUT,EAR_SUBCORTEX,4
EAR_SHENMEN,EX-HN1,4
EAR_SHENMEN,EX-HN22,4
EAR_SHENMEN,YINTANG,4
EAR_SPLEEN,EAR_SYMPATHETIC,4
EAR_SPLEEN,GV20,4
EAR_SPLEEN,HT7,4
EX-HN22,KI6,4
EX-HN3,SP6,4
GV11,GV16,4
GV11,GV20,4
GV11,GV24,4
GV14,GV24,4
GV16,GV20,4
GV16,GV24,4
GV17,GV20,4
HT7,LI4,4
KI3,LR3,4
KI3,PC6,4
KI6,LR3,4
LI4,LR3,4
ANMIAN,BL62,3
ANMIAN,KI6,3
ANMIAN,YINTANG,3
BL15,BL19,3
BL15,BL21,3
BL15,BL24,3
BL15,BL26,3
BL15,EX-HN1,3
BL15,EX-HN3,3
BL15,GV14,3
BL15,GV4,3
BL18,BL21,3
BL18,BL24,3
BL18,BL26,3
BL18,LR3,3
BL2,GV20,3
BL20,BL21,3
BL20,BL24,3
BL20,BL26,3
BL20,BL62,3
BL20,GV20,3
BL20,ST36,3
BL21,BL23,3
BL23,BL24,3
BL23,BL26,3
BL23,GV11,3
BL23,GV14,3
BL23,GV16,3
BL23,GV4,3
BL23,KI6,3
BL23,LR3,3
BL24,BL26,3
BL24,GV20,3
BL26,GV20,3
BL62,EX-HN22,3
BL62,LR3,3
BL62,SISHENCONG,3
BL62,YINTANG,3
CV10,CV4,3
CV12,GV24,3
CV12,ST36,3
CV12,YINTANG,3
CV4,GV20,3
CV4,SP6,3
CV6,HT7,3
CV6,PC6,3
CV6,YINTANG,3
EAR_ENDOCRINE,EAR_HEART,3
EAR_ENDOCRINE,EAR_SHENMEN,3
EAR_HEART,PC6,3
EAR_HEART,SP6,3
EAR_KIDNEY,PC6,3
EAR_KIDNEY,SP6,3
EAR_LIVER,EAR_SYMPATHETIC,3
EAR_LIVER,GV20,3
EAR_LIVER,HT7,3
EAR_SHENMEN,SISHENCONG,3
EAR_SPLEEN,PC6,3
EAR_SPLEEN,SP6,3
EAR_SUBCORTEX,EAR_SYMPATHETIC,3
EAR_SYMPATHETIC,PC6,3
EAR_SYMPATHETIC,SP6,3
EAR_SYMPATHETIC,YINTANG,3
EX-HN1,GV24,3
EX-HN1,ST36,3
EX-HN22,GV24,3
EX-HN22,LI4,3
EX-HN22,LR3,3
EX-HN22,ST36,3
EX-HN5,HT7,3
GV11,GV14,3
GV11,GV17,3
GV14,GV16,3
GV14,GV17,3
GV14,GV4,3
GV16,GV17,3
GV17,GV24,3
GV20,GV4,3
GV20,LI4,3
GV24,GV4,3
GV24,SISHENCONG,3
HT7,KI1,3
KI1,SP6,3
KI3,KI6,3
KI6,SISHENCONG,3
KI6,YINTANG,3
PC6,ST25,3
SISHENCONG,TAIYANG,3
SP6,TAIYANG,3
ANMIAN,EAR_SHENMEN,2
ANMIAN,LR3,2
BL13,BL15,2
BL13,BL18,2
BL13,BL20,2
BL13,BL23,2
BL13,BL24,2
BL13,BL26,2
BL13,BL62,2
BL13,GV20,2
BL15,BL40,2
BL15,BL57,2
BL15,CV12,2
BL15,CV4,2
BL15,CV6,2
BL15,GB43,2
BL15,GV10,2
BL15,GV11,2
BL15,GV16,2
BL15,GV17,2
BL15,GV26,2
BL15,GV9,2
BL15,LI4,2
BL15,ST25,2
BL15,YINTANG,2
BL18,BL19,2
BL18,BL40,2
BL18,BL57,2
BL18,BL62,2
BL18,CV4,2
BL18,EX-HN3,2
BL18,GV14,2
BL18,GV24,2
BL18,GV4,2
BL18,KI3,2
BL18,PC6,2
BL18,ST25,2
BL18,ST36,2
BL19,BL20,2
BL19,BL21,2
BL19,BL23,2
BL19,BL24,2
BL19,BL26,2
BL19,BL40,2
BL19,BL57,2
BL19,GV14,2
BL19,GV20,2
BL19,GV24,2
BL19,GV4,2
BL19,HT7,2
BL19,LR3,2
BL19,SP6,2
