node,system,frequency
HT7,body,42
GV20,body,36
SP6,body,30
PC6,body,26
EAR_SHENMEN,ear,17
ST36,body,16
GV24,body,14
EX-HN22,body,13
SISHENCONG,body,13
BL15,body,12
BL23,body,12
KI6,body,11
BL62,body,10
EAR_HEART,ear,10
EX-HN1,body,10
EX-HN3,body,10
LR3,body,10
EAR_KIDNEY,ear,9
EAR_SPLEEN,ear,9
KI3,body,9
YINTANG,body,9
CV12,body,8
EAR_LIVER,ear,8
ANMIAN,body,7
BL18,body,7
EAR_SUBCORTEX,ear,7
BL20,body,6
CV6,body,6
EAR_SYMPATHETIC,ear,6
CV4,body,5
EAR_OCCIPUT,ear,5
GV14,body,5
KI1,body,5
CV10,body,4
GV11,body,4
GV16,body,4
GV17,body,4
LI4,body,4
BL19,body,3
BL2,body,3
BL21,body,3
BL24,body,3
BL26,body,3
EAR_ENDOCRINE,ear,3
EX-HN5,body,3
GV4,body,3
ST25,body,3
TAIYANG,body,3
BL13,body,2
BL40,body,2
BL57,body,2
BL60,body,2
EAR_GALLBLADDER,ear,2
GB20,body,2
GB43,body,2
GV10,body,2
GV18,body,2
GV26,body,2
GV9,body,2
LI10,body,2
TE17,body,2
BG13,body,1
BL10,body,1
BL11,body,1
BL12,body,1
BL14,body,1
BL16,body,1
BL17,body,1
BL22,body,1
BL25,body,1
BL27,body,1
BL28,body,1
BL29,body,1
BL3,body,1
BL30,body,1
BL31,body,1
BL32,body,1
BL33,body,1
BL34,body,1
BL35,body,1
BL36,body,1
BL37,body,1
BL38,body,1
BL39,body,1
BL4,body,1
BL41,body,1
BL42,body,1
BL43,body,1
BL44,body,1
BL45,body,1
BL46,body,1
BL47,body,1
BL48,body,1
BL49,body,1
BL5,body,1
BL50,body,1
BL51,body,1
BL52,body,1
BL53,body,1
BL54,body,1
BL55,body,1
BL56,body,1
BL58,body,1
BL59,body,1
BL6,body,1
BL61,body,1
BL63,body,1
BL64,body,1
BL65,body,1
BL66,body,1
BL67,body,1
BL7,body,1
BL8,body,1
BL9,body,1
CV13,body,1
CV14,body,1
CV15,body,1
CV17,body,1
CV24,body,1
EAR_BRAIN,ear,1
EAR_CORTICAL_AREAS,ear,1
EAR_HYPOPHYSIS,ear,1
EAR_LARGE_INTESTINE,ear,1
EAR_LUNG,ear,1
EAR_SANJIAO,ear,1
EAR_SMALL_INTESTINE,ear,1
EAR_STOMACH,ear,1
EAR_ZHENJING,ear,1
GB19,body,1
GB25,body,1
GB34,body,1
GB35,body,1
GV1,body,1
GV12,body,1
GV13,body,1
GV15,body,1
GV19,body,1
GV2,body,1
GV21,body,1
GV22,body,1
GV23,body,1
GV25,body,1
GV27,body,1
GV28,body,1
GV29,body,1
GV3,body,1
GV5,body,1
GV6,body,1
GV7,body,1
GV8,body,1
HT5,body,1
KI17,body,1
KI9,body,1
LR14,body,1
LR2,body,1
PC7,body,1
SP4,body,1
ST21,body,1
ST24,body,1
ST30,body,1
ST31,body,1
ST40,body,1
TE6,body,1
