sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list,standard_acupoints_list,dropped_acupoints_list
2012_acupuncture_SR,1,Chen,1999,Acupressure,"GV20, GB20, EX-HN22, HT7, hands(unspecified)","[""GV20"", ""GB20"", ""EX-HN22"", ""HT7"", ""hands(unspecified)""]","[""GV20"", ""GB20"", ""EX-HN22"", ""HT7""]","[""hands(unspecified)""]"
2012_acupuncture_SR,2,Chen,2009,Acupressure,"EX-HN3, GV24, GV20, EX-HN5, HT7, (Ear) Shenmen, heart, lung, spleen, kidney, liver, endocrine, sympathetic, cortical areas","[""EX-HN3"", ""GV24"", ""GV20"", ""EX-HN5"", ""HT7"", ""(Ear) Shenmen"", ""heart"", ""lung"", ""spleen"", ""kidney"", ""liver"", ""endocrine"", ""sympathetic"", ""cortical areas""]","[""EX-HN3"", ""GV24"", ""GV20"", ""EX-HN5"", ""HT7"", ""EAR_SHENMEN"", ""EAR_HEART"", ""EAR_LUNG"", ""EAR_SPLEEN"", ""EAR_KIDNEY"", ""EAR_LIVER"", ""EAR_ENDOCRINE"", ""EAR_SYMPATHETIC"", ""EAR_CORTICAL_AREAS""]",[]
2012_acupuncture_SR,3,Cui,2003,Needle acupuncture,"GV20, GV24, EX-HN1, HT7, PC6, CV12, ST40, SP4","[""GV20"", ""GV24"", ""EX-HN1"", ""HT7"", ""PC6"", ""CV12"", ""ST40"", ""SP4""]","[""GV20"", ""GV24"", ""EX-HN1"", ""HT7"", ""PC6"", ""CV12"", ""ST40"", ""SP4""]",[]
2012_acupuncture_SR,4,Du,2007,Needle acupuncture,"EX-HN3, SP6, 1 inch above medial malleolus, BL15, BL20, BL18, BL23, KI3, TE6, LR2, GB43","[""EX-HN3"", ""SP6"", ""1 inch above medial malleolus"", ""BL15"", ""BL20"", ""BL18"", ""BL23"", ""KI3"", ""TE6"", ""LR2"", ""GB43""]","[""EX-HN3"", ""SP6"", ""BL15"", ""BL20"", ""BL18"", ""BL23"", ""KI3"", ""TE6"", ""LR2"", ""GB43""]","[""1 inch above medial malleolus""]"
2012_acupuncture_SR,5,Guo,2009,Needle acupuncture,"EX-HN1, HT7, SP6, CV4, BL15, BL20, BL23, KI3, BL21, ST36, BL18, LR3","[""EX-HN1"", ""HT7"", ""SP6"", ""CV4"", ""BL15"", ""BL20"", ""BL23"", ""KI3"", ""BL21"", ""ST36"", ""BL18"", ""LR3""]","[""EX-HN1"", ""HT7"", ""SP6"", ""CV4"", ""BL15"", ""BL20"", ""BL23"", ""KI3"", ""BL21"", ""ST36"", ""BL18"", ""LR3""]",[]
2012_acupuncture_SR,6,Hisghman,2006,Acupressure(Magnetic),"(Ear) Shenmen, heart, kidney, liver, spleen, occiput and subcortex","[""(Ear) Shenmen"", ""heart"", ""kidney"", ""liver"", ""spleen"", ""occiput and subcortex""]","[""EAR_SHENMEN"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_LIVER"", ""EAR_SPLEEN"", ""EAR_OCCIPUT"", ""EAR_SUBCORTEX""]",[]
2012_acupuncture_SR,8,Jian,2005,Needle acupuncture,"BL15, EX-HN22, GV20, GV24, KI6, HT7, EX-HN5","[""BL15"", ""EX-HN22"", ""GV20"", ""GV24"", ""KI6"", ""HT7"", ""EX-HN5""]","[""BL15"", ""EX-HN22"", ""GV20"", ""GV24"", ""KI6"", ""HT7"", ""EX-HN5""]",[]
2012_acupuncture_SR,9,Jin,2003,Acupressure,"(Ear) Shenmen, Occiput, Subcortex, Liver, Gallbladder, Spleen, Stomach, Heart, Kidney","[""(Ear) Shenmen"", ""Occiput"", ""Subcortex"", ""Liver"", ""Gallbladder"", ""Spleen"", ""Stomach"", ""Heart"", ""Kidney""]","[""EAR_SHENMEN"", ""EAR_OCCIPUT"", ""EAR_SUBCORTEX"", ""EAR_LIVER"", ""EAR_GALLBLADDER"", ""EAR_SPLEEN"", ""EAR_STOMACH"", ""EAR_HEART"", ""EAR_KIDNEY""]",[]
2012_acupuncture_SR,11,Kim,2004,Needle acupuncture,"HT7, PC6","[""HT7"", ""PC6""]","[""HT7"", ""PC6""]",[]
2012_acupuncture_SR,12,Lai,2010,Electroacupuncture,"KI6, BL62, HT7, EX-HN3, EX-HN1, EX-HN22, BL15, BL20, ST36","[""KI6"", ""BL62"", ""HT7"", ""EX-HN3"", ""EX-HN1"", ""EX-HN22"", ""BL15"", ""BL20"", ""ST36""]","[""KI6"", ""BL62"", ""HT7"", ""EX-HN3"", ""EX-HN1"", ""EX-HN22"", ""BL15"", ""BL20"", ""ST36""]",[]
2012_acupuncture_SR,13,Lee,2009,Needle acupuncture,"HT7, PC6","[""HT7"", ""PC6""]","[""HT7"", ""PC6""]",[]
2012_acupuncture_SR,15,Lin,2007,Acupressure,"(Ear) Shenmen, Endocrine, Heart, Small Intestine, Liver, Kidney, Gallbladder, Spleen, Large Intestine, Sanjiao","[""(Ear) Shenmen"", ""Endocrine"", ""Heart"", ""Small Intestine"", ""Liver"", ""Kidney"", ""Gallbladder"", ""Spleen"", ""Large Intestine"", ""Sanjiao""]","[""EAR_SHENMEN"", ""EAR_ENDOCRINE"", ""EAR_HEART"", ""EAR_SMALL_INTESTINE"", ""EAR_LIVER"", ""EAR_KIDNEY"", ""EAR_GALLBLADDER"", ""EAR_SPLEEN"", ""EAR_LARGE_INTESTINE"", ""EAR_SANJIAO""]",[]
