node,system,frequency,x,y
HT7,body,42,-1.730142,0.906662
GV20,body,36,-0.524176,0.854796
SP6,body,30,-1.384745,0.825523
PC6,body,26,-1.558207,0.825513
EAR_SHENMEN,ear,17,-2.248686,1.193070
ST36,body,16,-1.148312,1.002053
GV24,body,14,-0.155598,1.059143
EX-HN22,body,13,-1.191570,0.941585
SISHENCONG,body,13,-1.839389,1.131630
BL15,body,12,-0.346595,0.956911
BL23,body,12,-0.388615,0.794063
KI6,body,11,-1.446321,1.096304
BL62,body,10,-0.035160,0.895803
EAR_HEART,ear,10,-2.393611,1.357728
EX-HN1,body,10,-1.598608,0.899935
EX-HN3,body,10,-1.801506,1.054478
LR3,body,10,-1.456168,0.896114
EAR_KIDNEY,ear,9,-2.414422,1.140619
EAR_SPLEEN,ear,9,-2.183233,1.161540
KI3,body,9,-1.398175,0.907635
YINTANG,body,9,-1.166461,0.836767
CV12,body,8,-1.290573,0.855673
EAR_LIVER,ear,8,-2.339767,1.401259
ANMIAN,body,7,-1.524107,0.962551
BL18,body,7,-0.252458,0.895602
EAR_SUBCORTEX,ear,7,-2.289463,1.121786
BL20,body,6,-0.159513,0.945809
CV6,body,6,-1.447144,0.903535
EAR_SYMPATHETIC,ear,6,-1.857922,1.008686
CV4,body,5,-1.561439,0.875844
EAR_OCCIPUT,ear,5,-2.199185,1.304332
GV14,body,5,-0.210164,0.989403
KI1,body,5,-1.400416,0.903541
CV10,body,4,-2.382870,1.125351
GV11,body,4,-0.052520,1.126806
GV16,body,4,0.131581,1.082677
GV17,body,4,0.152945,1.092419
LI4,body,4,-1.207229,1.033551
BL19,body,3,-0.231768,0.991327
BL2,body,3,-0.182728,0.940002
BL21,body,3,0.098282,1.088640
BL24,body,3,-0.050114,0.923491
BL26,body,3,-0.165468,1.064418
EAR_ENDOCRINE,ear,3,-2.711784,1.360202
EX-HN5,body,3,-2.174970,1.105000
GV4,body,3,0.034100,1.185033
ST25,body,3,-1.106134,0.907468
TAIYANG,body,3,-1.397297,1.055843
BL13,body,2,-0.026680,1.095106
BL40,body,2,0.284151,1.193127
BL57,body,2,-0.093768,0.969260
BL60,body,2,0.165727,1.027260
EAR_GALLBLADDER,ear,2,-3.337601,1.712077
GB20,body,2,-1.572336,0.885065
GB43,body,2,-1.393053,0.950043
GV10,body,2,0.077181,1.196576
GV18,body,2,0.314270,1.306499
GV26,body,2,0.118348,1.121290
GV9,body,2,0.128832,1.166511
LI10,body,2,-1.815390,1.115622
TE17,body,2,-1.909202,1.086411
BG13,body,1,-1.332418,1.039680
BL10,body,1,0.454183,1.396627
BL11,body,1,0.539113,1.534053
BL12,body,1,0.356853,1.287645
BL14,body,1,0.103287,1.130016
BL16,body,1,0.416063,1.319237
BL17,body,1,0.557989,1.429584
BL22,body,1,0.197013,1.272248
BL25,body,1,0.462390,1.396074
BL27,body,1,0.353873,1.324375
BL28,body,1,0.304522,1.222059
BL29,body,1,0.452295,1.405312
BL3,body,1,0.415618,1.311791
BL30,body,1,0.602240,1.555495
BL31,body,1,0.480177,1.364941
BL32,body,1,0.432877,1.520119
BL33,body,1,0.515228,1.453056
BL34,body,1,0.460754,1.432662
BL35,body,1,0.399633,1.390383
BL36,body,1,0.317399,1.298408
BL37,body,1,0.212761,1.286094
BL38,body,1,0.490878,1.356329
BL39,body,1,0.418195,1.363273
BL4,body,1,0.330796,1.322933
BL41,body,1,0.374316,1.401630
BL42,body,1,0.478292,1.381306
BL43,body,1,0.483120,1.317073
BL44,body,1,0.320825,1.426011
BL45,body,1,0.180907,1.177929
BL46,body,1,0.355891,1.467184
BL47,body,1,0.442405,1.452606
BL48,body,1,0.346747,1.205090
BL49,body,1,0.377127,1.368836
BL5,body,1,0.370340,1.397573
BL50,body,1,0.317497,1.348413
BL51,body,1,0.309734,1.304772
BL52,body,1,0.444471,1.399368
BL53,body,1,0.316148,1.290208
BL54,body,1,0.338715,1.286382
BL55,body,1,0.401268,1.407752
BL56,body,1,0.332918,1.252982
BL58,body,1,0.424606,1.334983
BL59,body,1,0.452053,1.317870
BL6,body,1,0.510538,1.547423
BL61,body,1,0.463479,1.329514
BL63,body,1,0.450922,1.395331
BL64,body,1,0.392900,1.315819
BL65,body,1,0.570295,1.444522
BL66,body,1,0.532838,1.404684
BL67,body,1,0.513054,1.441385
BL7,body,1,0.409381,1.405572
BL8,body,1,0.579601,1.547129
BL9,body,1,0.437299,1.340697
CV13,body,1,-1.921889,1.096226
CV14,body,1,-0.452874,0.956493
CV15,body,1,-0.575454,0.848443
CV17,body,1,-0.384830,1.023379
CV24,body,1,-0.450091,0.969320
EAR_BRAIN,ear,1,-1.826236,1.110983
EAR_CORTICAL_AREAS,ear,1,-2.215926,1.127823
EAR_HYPOPHYSIS,ear,1,-1.947416,1.070667
EAR_LARGE_INTESTINE,ear,1,-3.373996,1.622650
EAR_LUNG,ear,1,-2.260558,1.263856
EAR_SANJIAO,ear,1,-3.068160,1.648167
EAR_SMALL_INTESTINE,ear,1,-3.004128,1.626918
EAR_STOMACH,ear,1,-3.056560,1.671995
GB19,body,1,-1.214841,0.982399
GB25,body,1,-0.302398,0.891375
GB34,body,1,-1.629981,0.964884
GB35,body,1,-1.841817,1.140493
GV1,body,1,0.278438,1.271259
GV12,body,1,0.294422,1.311126
GV13,body,1,0.527033,1.508281
GV15,body,1,0.300266,1.301623
GV19,body,1,0.426247,1.225877
GV2,body,1,0.441656,1.345619
GV21,body,1,0.348588,1.411921
GV22,body,1,0.552661,1.517599
GV23,body,1,0.470303,1.356213
GV25,body,1,0.440644,1.448839
GV27,body,1,0.312096,1.400494
GV28,body,1,0.348113,1.312884
GV29,body,1,-1.323670,0.975477
GV3,body,1,0.693921,1.683906
GV5,body,1,0.364476,1.270094
GV6,body,1,0.116513,1.076784
GV7,body,1,0.569604,1.451365
GV8,body,1,0.522062,1.445020
HT5,body,1,-1.268151,0.801517
KI17,body,1,-2.468610,1.275295
KI9,body,1,-1.621212,1.046397
LR14,body,1,-0.502437,0.806298
LR2,body,1,-1.254904,0.889709
PC7,body,1,-1.266635,0.944560
SP4,body,1,-1.679259,0.963564
ST21,body,1,-2.105658,1.257194
ST24,body,1,-2.566627,1.219106
ST30,body,1,-2.541974,1.163350
ST31,body,1,-2.536528,1.305847
ST40,body,1,-1.125465,0.996761
TE6,body,1,-1.174136,0.922919
