year,rank,source,target,weight
2012,1,EX-HN22,HT7,6
2012,2,GV20,HT7,6
2012,3,HT7,PC6,6
2012,4,EAR_HEART,EAR_KIDNEY,5
2012,5,EAR_HEART,EAR_LIVER,5
2012,6,EAR_HEART,EAR_SHENMEN,5
2012,7,EAR_HEART,EAR_SPLEEN,5
2012,8,EAR_KIDNEY,EAR_LIVER,5
2012,9,EAR_KIDNEY,EAR_SHENMEN,5
2012,10,EAR_KIDNEY,EAR_SPLEEN,5
2016,1,GV20,HT7,17
2016,2,HT7,SP6,15
2016,3,HT7,PC6,13
2016,4,GV20,SP6,12
2016,5,GV20,PC6,11
2016,6,PC6,SP6,11
2016,7,GV20,SISHENCONG,10
2016,8,HT7,SISHENCONG,9
2016,9,SISHENCONG,SP6,9
2016,10,GV20,YINTANG,8
2020,1,EX-HN22,GV20,6
2020,2,EX-HN3,GV20,6
2020,3,EX-HN1,GV20,5
2020,4,EX-HN22,EX-HN3,5
2020,5,GV20,SP6,5
2020,6,EAR_SHENMEN,EX-HN1,4
2020,7,EAR_SHENMEN,EX-HN22,4
2020,8,EAR_SHENMEN,EX-HN3,4
2020,9,EAR_SHENMEN,GV20,4
2020,10,EX-HN1,EX-HN22,4
