year,rank,node,system,frequency,degree_centrality,strength,betweenness_centrality,closeness_centrality
2012,1,BL15,body,6,0.785714,143.000000,0.038934,0.788612
2012,2,GV20,body,7,0.857143,142.000000,0.138232,0.873463
2012,3,GV24,body,5,0.850000,135.000000,0.127429,0.867969
2012,4,BL23,body,5,0.778571,133.000000,0.035604,0.784131
2012,5,BL20,body,4,0.757143,121.000000,0.029721,0.770990
2012,6,BL62,body,4,0.757143,118.000000,0.020908,0.745985
2012,7,BL18,body,3,0.742857,113.000000,0.026207,0.762470
2012,8,BL21,body,2,0.714286,104.000000,0.018557,0.745985
2012,9,BL10,body,1,0.664286,93.000000,0.000000,0.686603
2012,10,BL11,body,1,0.664286,93.000000,0.000000,0.686603
2016,1,GV20,body,21,0.952381,182.000000,0.127282,0.954545
2016,2,HT7,body,22,0.873016,177.000000,0.086503,0.887324
2016,3,SP6,body,18,0.761905,151.000000,0.044459,0.807692
2016,4,PC6,body,14,0.777778,140.000000,0.045053,0.818182
2016,5,YINTANG,body,9,0.730159,96.000000,0.044078,0.787500
2016,6,SISHENCONG,body,13,0.428571,81.000000,0.007560,0.636364
2016,7,BL23,body,6,0.650794,76.000000,0.025634,0.741176
2016,8,ST36,body,8,0.634921,69.000000,0.023517,0.732558
2016,9,CV12,body,4,0.730159,68.000000,0.034076,0.787500
2016,10,CV6,body,4,0.730159,68.000000,0.034076,0.787500
2020,1,GV20,body,8,0.441176,42.000000,0.083930,0.641509
2020,2,EX-HN22,body,7,0.470588,41.000000,0.083134,0.653846
2020,3,HT7,body,5,0.500000,33.000000,0.093978,0.666667
2020,4,PC6,body,5,0.558824,32.000000,0.245004,0.653846
2020,5,SP6,body,5,0.411765,32.000000,0.052736,0.629630
2020,6,EAR_SHENMEN,ear,6,0.441176,31.000000,0.375520,0.607143
2020,7,EX-HN3,body,6,0.352941,31.000000,0.054938,0.607143
2020,8,EX-HN1,body,5,0.264706,27.000000,0.006833,0.548387
2020,9,LI4,body,2,0.352941,15.000000,0.020338,0.531250
2020,10,LR3,body,2,0.352941,15.000000,0.020338,0.531250
